Region,area,bedrooms,name,price,url,where,Latitude,Longtitude,City
sfc,,2,"Updated, Fully Furnished 2 Bedroom, 1 Bathroom Unit, Utilities Include",3750,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-fully-furnished-2/6858342681.html,inner richmond,37.775467,-122.461733,san francisco
sfc,564ft2,0,Home sweet home,3856,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-home-sweet-home/6858356029.html,SOMA / south beach,37.783825,-122.397613,san francisco
sfc,700ft2,1,"Top Floor, Beautiful, Bright, Large, Great Location **Open Houses**",3100,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-beautiful/6856575922.html,mission district,37.749172,-122.415955,san francisco
sfc,1400ft2,2,Furnished 2 Bed/2.5 Bath Apt-Pets ok!! No Application Fee!!,3825,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-2-bed-25-bath/6837580108.html,nob hill,37.78759,-122.418036,san francisco
sfc,,0,EXTREMELY RARE JR 1 BEDROOM IN COW HOLLOW FOR RENT,2895,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-extremely-rare-jr-1/6858352391.html,marina / cow hollow,37.798344,-122.425626,san francisco
sfc,935ft2,1,"Top floor large 1 bed,hardwood,  gas eat in kit, parking available",2495,https://sfbay.craigslist.org/sfc/apa/d/top-floor-large-1-bedhardwood-gas-eat/6845595796.html,excelsior / outer mission,37.719524,-122.433207,daly city
sfc,,0,GORGEOUS RUSSIAN HILL STUDIO FOR RENT NEAR GHIRARDELLI SQAURE,2595,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-russian-hill/6858347144.html,russian hill,37.804355,-122.423466,san francisco
sfc,,1,1 BEDROOM APT FOR RENT 1 BLOCK FROM GHIRARDELLI SQAURE,2995,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bedroom-apt-for-rent-1/6858346868.html,russian hill,37.804355,-122.423466,san francisco
sfc,,2,►OPEN HOME SUNDAY ►REMODELED FLAT!,3999,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-home-sunday/6858346380.html,mission district,37.760301,-122.418118,san francisco
sfc,,2,♠♠♠Recently Remodeled Home for Two! ♣♣♣,2500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-recently-remodeled-home/6858344864.html,inner sunset / UCSF,37.732691,-122.47604,daly city
sfc,,0,Huge Junior One Bedroom Available Now,2649,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-huge-junior-one-bedroom/6858344613.html,SOMA / south beach,37.777555,-122.413034,san francisco
sfc,,2,$500 off first months rent Upper flat private  yard gated,2650,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-500-off-first-months-rent/6858344587.html,Ocean view Short term one year,37.7195,-122.4411,daly city
sfc,,1,You would love to cal this your home...it affordable,900,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-you-would-love-to-cal/6858326583.html,,37.7587,-122.433,san francisco
sfc,350ft2,2,2 beds Inlaw 肖化两房一厅,1800,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-beds-inlaw/6846563116.html,portola district,37.728928,-122.420528,san francisco
sfc,,1,Sunny Victorian/Architect Remodel in Liberty Hill Historic District,3300,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sunny-victorian-architect/6852509809.html,mission district,37.756875,-122.42157,san francisco
sfc,,1,Renovated Spacious 1 Bedroom 1 Bathroom + Chefs Kitchen,2750,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-renovated-spacious-1/6852219185.html,west portal / forest hill,37.7354,-122.4571,daly city
sfc,,1,Nice fully furnished 1 bedroom apartment  for rent,900,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nice-fully-furnished-1/6858326780.html,,37.7587,-122.433,san francisco
sfc,,0,1 Bedroom 1 Bathroom Apartment for Rent Located in Los Banos,756,https://sfbay.craigslist.org/sfc/apa/d/los-banos-1-bedroom-1-bathroom/6858323797.html,Los Banos,37.075422,-120.883169,los banos
sfc,,2,"Portola, San Bruno Ave, small 2 BR/1 BA top flat for rent",2600,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-portola-san-bruno-ave/6858336747.html,portola district,37.72707,-122.403363,san francisco
sfc,1355ft2,2,Nicely+restored+furnished+Mid-Market.+Near+Bi-Rite,3582,https://sfbay.craigslist.org/sfc/apa/d/san-francisco/6858329015.html,mission district,37.768369,-122.426702,san francisco
sfc,600ft2,1,OPEN HOUSE Sunday 1-3pm - Convenient & Classic SF 1br,2750,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-house-sunday-1-3pm/6858333131.html,nob hill,37.790341,-122.414881,san francisco
sfc,,0,Beautiful Large studio with a view of the Ocean,2100,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-large-studio/6858332588.html,14thAvenue Golden Gate higths,37.7441,-122.4863,daly city
sfc,,0,Nob Hill Studio,1500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-studio/6850588528.html,nob hill,37.791416,-122.414107,san francisco
sfc,650ft2,1,Great Experiences Are Just Around The Corner,3556,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-experiences-are/6858330599.html,SOMA / south beach,37.772721,-122.391183,san francisco
sfc,,1,Exceptional Trophy Apartment W/ Parking Available,3700,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-exceptional-trophy/6858330308.html,pacific heights,37.791859,-122.425177,san francisco
sfc,932ft2,2,2 Bedroom 2 Bath Available NOW! The Fillmore Center is Home!,3641,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-2-bath/6858330295.html,western addition,37.78317,-122.432681,san francisco
